AP1_280_Antenna1,AP1_290_Antenna1,AP1_300_Antenna1,Anchor1_280_Antenna1,Anchor1_290_Antenna1,Anchor1_300_Antenna1,Anchor2_280_Antenna1,Anchor2_290_Antenna1,Anchor2_300_Antenna1,Anchor3_280_Antenna1,Anchor3_290_Antenna1,Anchor3_300_Antenna1,Anchor4_280_Antenna1,Anchor4_290_Antenna1,Anchor4_300_Antenna1,AP1_280_Antenna2,AP1_290_Antenna2,AP1_300_Antenna2,Anchor1_280_Antenna2,Anchor1_290_Antenna2,Anchor1_300_Antenna2,Anchor2_280_Antenna2,Anchor2_290_Antenna2,Anchor2_300_Antenna2,Anchor3_280_Antenna2,Anchor3_290_Antenna2,Anchor3_300_Antenna2,Anchor4_280_Antenna2,Anchor4_290_Antenna2,Anchor4_300_Antenna2,AP1_280_Antenna3,AP1_290_Antenna3,AP1_300_Antenna3,Anchor1_280_Antenna3,Anchor1_290_Antenna3,Anchor1_300_Antenna3,Anchor2_280_Antenna3,Anchor2_290_Antenna3,Anchor2_300_Antenna3,Anchor3_280_Antenna3,Anchor3_290_Antenna3,Anchor3_300_Antenna3,Anchor4_280_Antenna3,Anchor4_290_Antenna3,Anchor4_300_Antenna3,AP1_280_Antenna4,AP1_290_Antenna4,AP1_300_Antenna4,Anchor1_280_Antenna4,Anchor1_290_Antenna4,Anchor1_300_Antenna4,Anchor2_280_Antenna4,Anchor2_290_Antenna4,Anchor2_300_Antenna4,Anchor3_280_Antenna4,Anchor3_290_Antenna4,Anchor3_300_Antenna4,Anchor4_280_Antenna4,Anchor4_290_Antenna4,Anchor4_300_Antenna4,AP1_280_Antenna5,AP1_290_Antenna5,AP1_300_Antenna5,Anchor1_280_Antenna5,Anchor1_290_Antenna5,Anchor1_300_Antenna5,Anchor2_280_Antenna5,Anchor2_290_Antenna5,Anchor2_300_Antenna5,Anchor3_280_Antenna5,Anchor3_290_Antenna5,Anchor3_300_Antenna5,Anchor4_280_Antenna5,Anchor4_290_Antenna5,Anchor4_300_Antenna5,AP1_Longitude,AP1_Latitude
0,0,0,0,0,0,0,0,0,121.3443,135.5167,100.7166,0,0,0,0,0,0,0,0,0,0,0,0,0.876,42.7007,57.0952,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,2.0907,2.9215,4.5412,1.3367,19.4399,31.2804,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.8122,0,58.3645,59.2746,0,0,0,0,0,0,0,0,0,2.7502,0.7484,1.7821,143.4938,121.6327,97.2534,-8.50096378,40.89703749
0,0,0,0,0,0,0,0,0,179.0098,115.2483,114.3076,0,0,0,0,0,0,0,0,0,0,0,0,1.9009,39.5226,53.6355,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,6.0289,16.1141,1.2352,20.5489,34.3302,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.5412,12.4299,43.231,62.0579,0,0,0,0,0,0,0,0,0,1.4814,1.1376,0.6623,130.952,111.7537,104.5175,-8.50096378,40.89703749
0,0,0,0,0,0,0,0,0,127.8083,117.8764,118.8644,0,0,0,0,0,0,0,0,0,0,0,0,1.7629,40.2205,57.1189,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,6.3726,5.1297,12.9131,1.6021,17.0458,26.8248,0,0,0,0,0,0,0,0,0,1.2376,1.302,4.0749,2.5405,43.2008,65.4563,0,0,0,0,0,0,0,0,0,1.3387,0.5699,0.227,142.554,117.9495,98.4697,-8.50096378,40.89703749
0,0,0,0,0,0,0,0,0,129.1296,128.8179,106.7892,0,0,0,0,0,0,0,0,0,0,0,0,1.8067,39.002,53.6389,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,5.1137,14.5653,2.209,17.6784,24.2351,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.7082,6.5431,67.6828,44.9265,0,0,0,0,0,0,0,0,0,1.9132,0.0129,0.3452,138.304,111.1332,93.182,-8.50096378,40.89703749
0,0,0,0,0,0,0,0,0,141.9675,130.1652,84.8921,0,0,0,0,0,0,0,0,0,0,0,0,1.7041,41.2421,53.8048,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,5.9314,4.9686,1.4109,19.3486,34.7275,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.5647,0,41.3588,55.5665,0,0,0,0,0,0,0,0,0,0.6563,1.04,1.4005,124.1478,115.5263,96.6028,-8.50096378,40.89703749
0,0,0,0,0,0,0,0,0,135.5398,124.3975,95.0286,0,0,0,0,0,0,0,0,0,0,0,0,1.3807,41.7666,57.719,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,2.032,1.9514,10.8916,0,17.956,37.0805,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.6619,5.7765,53.503,58.0448,0,0,0,0,0,0,0,0,0,0.6184,1.381,0.4867,138.3177,126.8034,114.6666,-8.50096378,40.89703749
0,0,0,0,0,0,0,0,0,125.4855,127.9752,93.5805,0,0,0,0,0,0,0,0,0,0,0,0,1.6409,40.5624,56.1689,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,1.5836,7.5707,1.6625,17.1966,34.0072,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9148,0,39.8045,53.1924,0,0,0,0,0,0,0,0,0,0.1654,0,0,130.6099,117.3745,102.4567,-8.50096378,40.89703749
0,0,0,0,0,0,0,0,0,115.9777,127.0919,106.0571,0,0,0,0,0,0,0,0,0,0,0,0,1.8224,41.4179,55.3652,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,2.5142,5.2621,15.7215,0,16.8405,33.9847,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.8578,0,44.7362,71.8811,0,0,0,0,0,0,0,0,0,0.8608,1.3961,1.1712,128.7047,114.3167,107.762,-8.50096378,40.89703749
0,0,0,0,0,0,0,0,0,144.8879,150.0225,102.5286,0,0,0,0,0,0,0,0,0,0,0,0,2.9089,41.3536,50.9076,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,2.6649,8.0774,7.9545,0.9595,16.8791,24.2266,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9599,11.9893,51.578,58.8473,0,0,0,0,0,0,0,0,0,0.5169,1.1572,0.8693,136.5753,134.6199,113.874,-8.50096378,40.89703749
0,0,0,0,0,0,0,0,0,137.3101,120.2644,105.1494,0,0,0,0,0,0,0,0,0,0,0,0,2.2737,39.8169,52.6505,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,9.128,7.9837,2.0174,17.1016,31.6182,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.4161,0,32.7267,69.7375,0,0,0,0,0,0,0,0,0,1.1923,2.4637,1.6683,126.8335,99.3479,109.3737,-8.50096378,40.89703749
0,0,0,0,0,0,0,0,0,165.6972,95.9988,117.744,0,0,0,0,0,0,0,0,0,0,0,0,2.4512,40.0924,52.8259,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,1.3409,2.2725,13.1411,1.0342,17.6293,31.1353,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.2923,10.3187,50.86,77.7374,0,0,0,0,0,0,0,0,0,0.9545,0.9326,0.8972,147.7563,108.9775,110.8373,-8.50096174,40.89703807
0,0,0,0,0,0,0,0,0,141.1016,101.372,116.5895,0,0,0,0,0,0,0,0,0,0,0,0,2.5115,40.6149,53.7485,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,4.0052,2.8591,1.5951,16.9661,29.5019,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.5069,0,42.8294,58.9942,0,0,0,0,0,0,0,0,0,1.6414,1.4906,0.4073,135.5548,104.9148,110.0857,-8.50096408,40.8970368
0,0,0,0,0,0,0,0,0,132.2281,126.4574,108.946,0,0,0,0,0,0,0,0,0,0,0,0,2.4114,40.5319,58.7778,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0.3827,5.5086,10.0683,0,18.5023,25.2357,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9893,3.169,42.5069,64.4455,0,0,0,0,0,0,0,0,0,1.1181,0.5468,1.242,133.1207,103.5405,117.9518,-8.50096609,40.8970368
0,0,0,0,0,0,0,0,0,135.5013,140.1602,95.961,2.4311,0.5923,1.6875,0,0,0,0,0,0,0,0,0,2.2837,42.6064,50.7249,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0.4637,2.8403,15.0263,0.6778,17.4779,38.0485,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.8141,0,57.2246,65.3601,0,0,0,0,0,0,0,0,0,0.8094,1.7338,1.8012,130.5727,108.0292,86.5625,-8.50096811,40.89703604
0,0,0,0,0,0,0,0,0,121.3166,141.7339,96.8132,1.3659,0.1163,0,0,0,0,0,0,0,0,0,0,1.8222,41.2566,53.8884,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,5.707,3.9995,11.578,0,18.4133,33.7137,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.42,17.453,66.4961,55.1933,0,0,0,0,0,0,0,0,0,0.8343,0,1.2937,130.8579,111.6066,111.0332,-8.50096978,40.89703579
0,0,0,0,0,0,0,0,0,147.1398,131.696,111.5851,0.3425,1.4554,0.8715,0,0,0,0,0,0,0,0,0,0.8188,41.5531,56.2572,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,2.9252,3.1994,4.1206,2.3779,15.7155,30.2518,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9599,6.9469,57.6386,78.5782,0,0,0,0,0,0,0,0,0,1.7607,0.4708,1.8448,131.3559,104.9614,110.1282,-8.50097146,40.89703503
0,0,0,0,0,0,0,0,0,138.0295,150.017,134.5487,1.8758,0,2.3126,0,0,0,0,0,0,0,0,0,0.649,43.0617,55.8481,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,0,11.357,3.3303,17.9027,26.4924,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.8421,6.5248,32.6885,78.9702,0,0,0,0,0,0,0,0,0,2.8764,0,0.4086,137.2327,122.2785,99.0475,-8.50097347,40.89703401
0,0,0,0,0,0,0,0,0,128.626,118.52,76.2752,0.8675,2.3641,0,0,0,0,0,0,0,0,0,0,1.0013,43.4198,55.3594,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,3.707,5.9234,0.5578,17.6938,28.2404,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.599,10.9767,47.4796,57.1674,0,0,0,0,0,0,0,0,0,0.1038,1.3283,1.8861,145.8978,117.4376,105.9893,-8.50097548,40.89703325
