RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-52.72213950014076,-170,-78.72427564158312,-170,-8.50131311,40.89710117
-54.55606518112147,-170,-78.65872264354377,-170,-8.50131042,40.89710193
-54.35360956447795,-170,-78.58506107702301,-170,-8.50130741,40.89710295
-54.089304677934976,-170,-82.4832866474983,-170,-8.50130338,40.89710421
-53.93857227949933,-170,-80.42572302936209,-170,-8.50130104,40.89710497
-53.73595955025478,-170,-78.3751932683889,-170,-8.50129869,40.89710624
-53.494039831767374,-170,-80.39479929492614,-170,-8.50129835,40.89710877
-53.30976688257325,-170,-80.48200218686426,-170,-8.50130003,40.89711156
-53.15614486571321,-170,-80.54992090787414,-170,-8.50130137,40.89711384
-51.01310280761441,-170,-80.61514443654181,-170,-8.50130271,40.89711612
-50.8388311220235,-170,-78.65826611664588,-170,-8.50130439,40.89711891
-50.73258610023728,-170,-78.78859284284131,-170,-8.50130640,40.89712119
-50.58672690073065,-170,-78.86910322059416,-170,-8.50130808,40.89712373
-50.31922283990996,-170,-76.85067349441157,-170,-8.50130640,40.89712575
-49.97647144756306,-170,-78.82024719489388,-170,-8.50130405,40.89712803
-49.62825393535605,-170,-78.76969491807587,-72.02985465390171,-8.50130137,40.89713006
-49.21210972875569,-170,-80.66938798406642,-74.03948793349035,-8.50129701,40.89713158
-48.86257090891336,-170,-80.615049206131,-76.06319736212234,-8.50129366,40.89713310
-48.386363353588386,-170,-76.51641783576477,-76.08362475959571,-8.50128897,40.89713488
-47.98576594584871,-170,-76.44040971173075,-80.10592653284276,-8.50128528,40.89713640
-47.6578996855395,-170,-74.40154972309008,-80.14148784625463,-8.50128293,40.89713792
-47.28168303950393,-170,-76.36738968594196,-78.18534877709257,-8.50128058,40.89713969
-46.94129555907323,-170,-74.3241629142806,-74.21223387747563,-8.50127824,40.89714121
-46.52534932507678,-170,-74.28864618978045,-76.27207235017094,-8.50127555,40.89714299
-46.0968523661482,-170,-74.24539009521055,-78.31696891976556,-8.50127287,40.89714476
-45.56082953902895,-170,-76.19231745023725,-80.36878674810077,-8.50126952,40.89714679
