RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,RSSI_Antenna_5,AssetPoint_Longitude,AssetPoint_Latitude
-73.4458352048852,-170,-83.14540308270848,-170,-55.143340099436614,-8.50131297,40.89710183
-73.37746232492135,-170,-83.09239401824695,-170,-55.15637445985516,-8.50131297,40.89710183
-73.46187220275453,-170,-83.1736159119638,-170,-55.155728425418744,-8.50131297,40.89710183
-73.45523578447717,-170,-83.2027194774165,-170,-55.1473261996952,-8.50131297,40.89710183
-72.95419979229493,-170,-83.1729315100852,-170,-54.94105451282888,-8.50131297,40.89710183
-73.39823959044435,-170,-83.21083082281889,-170,-54.799913932356446,-8.50131297,40.89710183
-73.46638676884862,-170,-83.17856903875233,-170,-55.154060197867416,-8.50131297,40.89710183
-73.44151447946278,-170,-83.207886572708,-170,-55.15501536872426,-8.50131297,40.89710183
-73.25344045992995,-170,-83.05749007850835,-170,-55.117701159648625,-8.50131297,40.89710183
-73.46845315974915,-170,-83.1955868360215,-170,-55.06148117045713,-8.50131297,40.89710183
-73.46871248889641,-170,-83.207821963451,-170,-55.15538399053317,-8.50131297,40.89710183
-73.40261462401062,-170,-83.19676687654199,-170,-55.090713604244016,-8.50131243,40.89710193
-74.27722458916038,-170,-83.14640988765066,-170,-55.14071267100927,-8.50131042,40.89710244
-74.2410086028641,-170,-83.08330457757843,-170,-52.933486562293616,-8.50130741,40.89710396
-74.14243925833524,-170,-84.03577644450128,-170,-50.84588250842876,-8.50130506,40.89710523
-73.0808960788489,-170,-85.06355457383206,-170,-50.84131513456198,-8.50130506,40.89710725
-72.99774898091789,-170,-80.94338549654067,-170,-50.39185084081933,-8.50130606,40.89710979
-71.83818245004855,-170,-85.15292514303086,-170,-49.919326342659645,-8.50130774,40.89711182
-69.01802505155248,-170,-85.26735975700922,-170,-49.40980268606059,-8.50131042,40.89711384
-69.89625281865841,-170,-85.31163744639768,-170,-48.6800950049323,-8.50131277,40.89711688
-69.40002347887685,-170,-85.49311151967338,-170,-47.81965428062385,-8.50131612,40.89711993
-69.92441404814706,-170,-83.59070965732231,-170,-46.780808125538925,-8.50131847,40.89712373
-69.93735877618515,-170,-83.40331527542364,-170,-45.71890146298868,-8.50132048,40.89712626
-69.8704340461756,-170,-81.66518048179879,-170,-44.27313533166913,-8.50132216,40.8971293
-69.75744042482651,-170,-83.76194709570915,-170,-43.34732176927018,-8.50132484,40.89713412
-69.74863099517896,-170,-83.78930029704489,-170,-41.346822958563095,-8.50132719,40.89713969
-69.58067425606062,-170,-84.06540692375101,-170,-40.274536222895435,-8.50132853,40.89714197
-69.57113649607302,-170,-84.09812678178571,-170,-39.2632349616559,-8.50132886,40.897144
-69.70912713299717,-170,-82.0971248197267,-170,-37.37078135741466,-8.5013302,40.89714628
-69.66139856013622,-170,-82.2132277925696,-170,-36.386506606540635,-8.50133188,40.89714932
-69.43899700310732,-170,-82.29801639622382,-170,-33.96976263781649,-8.50133356,40.89715338
-69.3226783326092,-170,-80.28319623315562,-170,-35.17613373532887,-8.50133087,40.89715515
-69.33928756749805,-170,-81.99041521211468,-170,-36.42058611512871,-8.50132719,40.89715642
-69.1806739673712,-170,-80.0968683804993,-170,-38.86180696819235,-8.50132283,40.89715743
-69.18010714725833,-170,-82.09732507828092,-170,-39.150471136829495,-8.50132249,40.8971549
-68.80770480954497,-170,-80.02438375725936,-170,-39.95768703617236,-8.50132149,40.89715135
-69.35221129764552,-170,-81.94840191828169,-170,-41.124860463275155,-8.50132149,40.89714552
-69.41160350966811,-170,-81.9449227074417,-170,-41.09737989989567,-8.50132149,40.89714552
-69.44018935341089,-170,-81.70496582836401,-170,-42.10855050153393,-8.50131948,40.89714324
-69.29554173739953,-170,-81.7095317284352,-170,-42.154585374005975,-8.50131948,40.89714324
-69.42379567480353,-170,-82.79329055108562,-170,-42.95797870767978,-8.5013178,40.89714147
-69.43988080882666,-170,-83.67590558674335,-170,-43.69796251880564,-8.50131579,40.89713817
-69.3987127023451,-170,-83.69298613217708,-170,-44.071044030242604,-8.50131579,40.89713817
-69.48665347588243,-170,-83.64013908661538,-170,-44.956972414026104,-8.50131411,40.89713538
-69.28449354638012,-170,-83.57431692004866,-170,-44.85865865996891,-8.50131411,40.89713538
-69.32513824381334,-170,-83.56290957152976,-170,-45.51746318344404,-8.50131378,40.89713285
-68.339286934668,-170,-83.49617981814292,-170,-46.184781528726994,-8.50131009,40.89713234
-68.3873562892021,-170,-83.22714724549971,-170,-46.13768689176883,-8.50131009,40.89713234
