RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-57.89296438848904,-170,-83.2111313433471,-170,-8.50131297,40.89710183
-57.92448899229632,-170,-83.11004309700041,-170,-8.50131243,40.89710117
-59.48470753130149,-170,-82.62904233690998,-170,-8.50130573,40.89710320
-59.21410655809484,-170,-84.91450652488103,-170,-8.50130036,40.89710497
-57.85613868598006,-170,-85.02113800156137,-170,-8.50130171,40.89711131
-56.30414219188641,-170,-83.11683181257199,-170,-8.50130372,40.89711739
-55.80620896060697,-170,-83.19360501684045,-170,-8.50130573,40.89712195
-55.72856433276873,-170,-81.3544147118189,-170,-8.50130875,40.89712753
-55.303060608933365,-170,-83.55329827276985,-170,-8.50131176,40.89713310
-54.890799576452515,-170,-83.45310954174835,-170,-8.50130707,40.89713614
-53.989772700621025,-170,-81.33103472697682,-170,-8.50130238,40.89713817
-53.82430801024474,-170,-81.2824494092351,-170,-8.50129768,40.89714020
-53.215646904567116,-170,-81.04671119082987,-80.8896036676845,-8.50129165,40.89714223
-52.70123790640951,-170,-78.98996092978125,-82.75716604443126,-8.50128494,40.89714400
-51.97686503589327,-170,-78.95893226938026,-78.18790042996993,-8.50128125,40.89714806
-51.36452738801162,-170,-80.96539892723416,-81.07786234552854,-8.50127958,40.89715186
-50.68516880080877,-170,-84.88087234390787,-80.90989255582215,-8.50127757,40.89715541
-50.24141241133033,-170,-81.0818991478659,-83.29800110082539,-8.50127622,40.89715819
-49.788568539602984,-170,-83.05864005028302,-87.35338627821874,-8.50127388,40.89715997
-49.48969937217977,-170,-82.95881733935596,-87.29898183862271,-8.50127053,40.89715946
-49.39813252262533,-170,-82.81729058902317,-87.16534609366431,-8.50126583,40.89715794
-48.94190395800008,-170,-80.65940724986558,-89.06839902683093,-8.50126013,40.89715693
-48.703940680244614,-170,-78.37408151714193,-89.13690185978075,-8.50125443,40.89715693
-48.204984745463335,-170,-82.372427557709,-85.09568846495642,-8.50124806,40.89715718
-47.95334669752219,-170,-82.09128050182468,-84.400984761071,-8.50124236,40.89715718
-47.50355287763546,-170,-86.0161785709854,-85.01887219077862,-8.50123666,40.89715819
-47.08617988125192,-170,-84.00838978916319,-85.10742634086152,-8.50123197,40.89715946
-46.76268537157161,-170,-79.19948603123623,-85.04906169684315,-8.50122627,40.89716047
-46.401502081197876,-170,-81.5841230935808,-81.08324891494621,-8.50122124,40.89716225
-46.22947627156593,-170,-81.67912222861587,-81.18933611481934,-8.50121554,40.89716352
-170,-170,-83.51041974167153,-81.20701594008764,-8.50121085,40.89716453
-170,-170,-83.4526706214329,-79.2237235825768,-8.50120481,40.89716554
-170,-170,-85.31748973174322,-85.13663177694535,-8.50120045,40.89716656
