RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-51.701031312552885,-170,-61.68020757988931,-60.05031746345306,-8.50131311,40.89710117
-51.536442042197734,-170,-61.61161805911007,-60.04131246247516,-8.50131042,40.89710193
-51.336510639889724,-170,-61.53872602313835,-60.04044034427282,-8.50130741,40.89710295
-51.07342042972338,-170,-61.43839869297843,-60.03072846494787,-8.50130338,40.89710421
-50.917676684893344,-170,-61.38030096576302,-60.03226053969246,-8.50130104,40.89710497
-50.713197538276084,-170,-61.32825276485987,-60.055399047110186,-8.50129869,40.89710624
-50.47188461892803,-170,-61.350643077415455,-60.156100432300185,-8.50129835,40.89710877
-50.287502170145075,-170,-61.4354232984033,-60.29287077310083,-8.50130003,40.89711156
-50.13618888016364,-170,-61.452453334603604,-60.40264948548229,-8.50130137,40.89711384
-49.9874653666491,-170,-61.568760177770194,-60.5112726695001,-8.50130271,40.89711612
-49.81510751397025,-170,-61.65596338956257,-60.64297053651507,-8.50130439,40.89711891
-49.708153827166875,-170,-61.74251760507353,-60.75792840075544,-8.50130640,40.89712119
-49.56916877300094,-170,-61.821245398924965,-60.87651912884361,-8.50130808,40.89712373
-49.29454882274735,-170,-61.80626768721805,-60.93494750695959,-8.50130640,40.89712575
-48.95166277532945,-170,-61.77616042632489,-60.99500063014012,-8.50130405,40.89712803
-48.60166919423157,-170,-61.715039833171964,-60.93916245415958,-8.50130137,40.89713006
-48.19361898853804,-170,-61.6381465265005,-61.05198702020629,-8.50129701,40.89713158
-47.83617469792869,-170,-61.57033489493849,-61.074560438788055,-8.50129366,40.89713310
-47.35732977489587,-170,-61.46557244309653,-61.091184403423455,-8.50128897,40.89713488
-46.94678979916171,-170,-61.39459927562355,-61.11087457169883,-8.50128528,40.89713640
-46.618181699204214,-170,-61.355769136134946,-61.15323011229505,-8.50128293,40.89713792
-46.25556189838164,-170,-61.32079217327212,-61.199807234295776,-8.50128058,40.89713969
-45.90863726952337,-170,-61.28247130545154,-61.2373011894091,-8.50127824,40.89714121
-45.491201491416334,-170,-61.23841683726651,-61.23976036445588,-8.50127555,40.89714299
-45.06108206555962,-170,-61.201727902138366,-61.320020308632316,-8.50127287,40.89714476
-44.530623811709944,-170,-61.14806141989918,-61.378651533677996,-8.50126952,40.89714679
-43.836573641224575,-170,-61.083527034344065,-61.444522037590936,-8.50126550,40.89714932
-43.47752868580815,-170,-61.09397004374282,-61.50538109556658,-8.50126449,40.89715110
-42.945427089935485,-170,-61.04814375797703,-61.55082876450063,-8.50126147,40.89715287
-42.39343053460632,-170,-61.0257840452336,-61.61191860582012,-8.50125913,40.89715490
-41.60542833407273,-170,-61.00253310259299,-61.69481585410259,-8.50125611,40.89715769
-41.01632480855519,-170,-60.945584182884836,-61.61804590726416,-8.50125343,40.89715946
-40.95898590997793,-170,-60.87132371393004,-61.671822063375345,-8.50125041,40.89715870
-40.733085700329916,-170,-60.77992622462444,-61.66956928504068,-8.50124706,40.89715870
-40.699931630273824,-170,-60.705133852206394,-61.64404850396555,-8.50124471,40.89715819
-40.44288429620657,-170,-60.600786568672035,-61.63254663778071,-8.50124069,40.89715845
-39.99481902629775,-170,-60.54338985399298,-61.665033555788014,-8.50123767,40.89715971
-39.663881146996,-170,-60.46352385672704,-61.674752454566956,-8.50123398,40.89716047
-39.32099870912948,-170,-60.40484348764227,-61.70026100307459,-8.50123096,40.89716149
-39.00090158483992,-170,-60.34693877908805,-61.72484631528941,-8.50122795,40.89716250
-38.787861947395,-170,-60.27230162314562,-61.74004695912663,-8.50122459,40.89716326
-38.348862764712734,-170,-60.21983898508262,-61.781127179740416,-8.50122124,40.89716478
-38.24790363303363,-170,-60.126609285356054,-61.782184737332,-8.50121688,40.89716580
-37.93079234354856,-170,-60.09184788667743,-61.85668060166664,-8.50121420,40.89716732
-37.83170875929834,-170,-60.020886219406414,-61.89273057262797,-8.50121051,40.89716858
-37.74097407526029,-170,-59.95514104906742,-61.93226218138999,-8.50120749,40.89716985
-37.74831600916808,-170,-59.932966902956366,-61.96381701006465,-8.50120481,40.89717086
-37.70933023266618,-170,-59.88338071853985,-62.03097077526421,-8.50120079,40.89717289
-36.985052725716564,-170,-59.96691082908545,-62.11829383178896,-8.50120146,40.89717517
-36.12359863668726,-170,-60.066084568337224,-62.19793117348045,-8.50120313,40.89717720
-34.77023022239399,-170,-60.207331859939245,-62.32396896797389,-8.50120481,40.89718050
-33.708160440246495,-170,-60.30595044940523,-62.41072317737307,-8.50120615,40.89718278
-32.35458609201038,-170,-60.420725716872056,-62.506867361352896,-8.50120783,40.89718531
-30.944635944163537,-170,-60.5171191700127,-62.59315977843427,-8.50120950,40.89718759
-31.96798492143791,-170,-60.416539641730914,-62.56729881641522,-8.50120682,40.89718708
-32.98254792801097,-170,-60.361250231774825,-62.50099983042292,-8.50120548,40.89718531
-33.83823568248142,-170,-60.28352861078089,-62.441985500943005,-8.50120414,40.89718379
-34.70488984178757,-170,-60.19900172507596,-62.36913660492364,-8.50120280,40.89718202
-35.530741163088436,-170,-60.04903966153242,-62.30642742702525,-8.50120146,40.89718024
-36.16813731712005,-170,-60.04437383447622,-62.23882658860022,-8.50120079,40.89717847
-37.02008332255097,-170,-59.93083955319863,-62.15853928215102,-8.50119911,40.89717644
-37.57077345009904,-170,-59.86845603658124,-62.109004456377065,-8.50119777,40.89717517
-38.00821550678254,-170,-59.798218417759266,-62.09549966636013,-8.50119542,40.89717492
