1648656208.031961, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 250}
1648656208.639543, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648656213.65894, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648656214.224764, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656214.279285, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656214.412896, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656214.470729, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656214.539373, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656214.539799, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656214.540159, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656214.583802, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656214.643601, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656214.644012, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656214.656262, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656214.691512, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656214.691868, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656214.72833, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656214.754757, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656214.755081, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656214.785535, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656214.828984, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656214.889406, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656214.916073, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
