RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-52.69597059982255,-170,-78.70676054404373,-170,-8.50131243,40.89710117
-54.270617274289854,-170,-78.5400470422747,-170,-8.50130573,40.89710320
-53.91253996761533,-170,-80.40328118480218,-170,-8.50130036,40.89710497
-53.138272116689386,-170,-80.51444182424527,-170,-8.50130171,40.89711131
-50.944609774535934,-170,-78.6594691903571,-170,-8.50130372,40.89711739
-50.623615619565165,-170,-78.78063381448317,-170,-8.50130573,40.89712195
-50.28797842219032,-170,-76.94039407934395,-170,-8.50130875,40.89712753
-49.973576290931135,-170,-79.09988555923886,-170,-8.50131176,40.89713310
-49.40058349454287,-170,-79.02018455121211,-170,-8.50130707,40.89713614
-48.89666537062647,-170,-76.92890566449624,-170,-8.50130238,40.89713817
-48.37036469682534,-170,-76.83675598404993,-170,-8.50129768,40.89714020
-47.44480687601172,-170,-76.70992981836318,-76.39279462415706,-8.50129165,40.89714223
-47.04069299534866,-170,-74.56022203048946,-78.39523228274683,-8.50128494,40.89714400
-46.24546782705599,-170,-74.53420299998987,-74.51674829025049,-8.50128125,40.89714806
-45.59086758778713,-170,-76.55943453627813,-76.63848725970163,-8.50127958,40.89715186
-44.91823576205201,-170,-80.57262437899001,-76.76167558110214,-8.50127757,40.89715541
-44.38197128539303,-170,-76.58931842205362,-78.85000114970813,-8.50127622,40.89715819
-43.7657238492965,-170,-78.56479552259108,-82.89742536844088,-8.50127388,40.89715997
-43.62258120741147,-170,-78.46767279196524,-82.85738659512711,-8.50127053,40.89715946
-43.43146484532781,-170,-78.31202200867362,-82.76589407846613,-8.50126583,40.89715794
-43.12909099604179,-170,-76.14097096489846,-84.68720897176576,-8.50126013,40.89715693
-42.68316693235949,-170,-73.98651877338247,-84.64314659231358,-8.50125443,40.89715693
-42.19579648944857,-170,-77.82092423850568,-80.61852944161774,-8.50124806,40.89715718
-41.80634768705218,-170,-77.65572215107434,-80.58370525456525,-8.50124236,40.89715718
-41.401586520337574,-170,-81.53138135869992,-80.58950594545283,-8.50123666,40.89715819
-40.947955226245355,-170,-79.43152427651978,-80.61911215267335,-8.50123197,40.89715946
-40.62494911074411,-170,-75.2985572923106,-80.63184750096512,-8.50122627,40.89716047
-40.187731267881986,-170,-77.2032596477236,-76.66272180052731,-8.50122124,40.89716225
-40.02880146092204,-170,-77.07807678383367,-76.70821334974428,-8.50121554,40.89716352
-170,-170,-78.97004461467817,-76.7322737081952,-8.50121085,40.89716453
-170,-170,-78.83483700319874,-74.75235499464993,-8.50120481,40.89716554
-170,-170,-80.74221189848225,-80.78184989722322,-8.50120045,40.89716656
-170,-170,-80.81734086441509,-80.90620143577574,-8.50119978,40.89716985
-170,-170,-76.95549921888036,-81.07010597570135,-8.50120079,40.89717416
-170,-170,-71.10281365280987,-81.19525604334859,-8.50120179,40.89717796
-170,-170,-69.30104386147106,-77.34844484060264,-8.50120582,40.89718126
-170,-170,-71.43781210215226,-75.46454775260278,-8.50120783,40.89718430
-170,-170,-73.38645011094397,-79.51602531804357,-8.50120381,40.89718607
-170,-170,-75.24389610455106,-85.54664194598809,-8.50119945,40.89718708
-170,-170,-71.29972140847826,-83.59373612790075,-8.50119710,40.89718886
-170,-170,-71.25390225820333,-83.56263255086904,-8.50119341,40.89719038
-170,-170,-71.1894356310814,-83.72077648461732,-8.50118838,40.89719241
-170,-170,-71.3311279376919,-85.86479849187948,-8.50118905,40.89719646
-170,-170,-71.43044642097834,-85.96949840544752,-8.50118939,40.89719950
-170,-170,-69.51885005187751,-84.04751814058727,-8.50119106,40.89720229
-170,-170,-69.67301400589506,-84.16908582620279,-8.50119207,40.89720533
-170,-170,-69.7490257596766,-84.26249357886391,-8.50119207,40.89720787
-170,-170,-71.77589036968753,-84.36239175745578,-8.50118972,40.89721091
-170,-170,-71.8492121450414,-84.37302735462879,-8.50119207,40.89721116
-170,-170,-69.86355667603871,-84.3421713405324,-8.50119408,40.89721015
-170,-170,-69.77540538685051,-84.28383066525637,-8.50119542,40.89720837
-170,-170,-71.803314818049,-84.32184652310102,-8.50119207,40.89720964
-170,-170,-71.73555505076146,-86.28077469175881,-8.50119006,40.89720888
-170,-170,-69.7644648905032,-84.23001446776232,-8.50119408,40.89720685
-170,-170,-69.36277005228283,-83.92795316388256,-8.50118671,40.89719925
-170,-170,-71.25001601564784,-81.85279903555114,-8.50118604,40.89719621
-170,-170,-71.28572497344888,-85.7726260137268,-8.50119006,40.89719418
-170,-170,-71.35959120464818,-83.78964058410133,-8.50119308,40.89719418
-170,-170,-71.40156724327652,-83.75840914279382,-8.50119609,40.89719317
-170,-170,-71.47553839341782,-83.75391356681936,-8.50119945,40.89719291
-170,-170,-71.51417618646715,-81.73780154199669,-8.50120213,40.89719266
-170,-170,-73.55238851253873,-81.71988442793807,-8.50120414,40.89719165
