AP1_280_Antenna1,AP1_290_Antenna1,AP1_300_Antenna1,AP1_280_Antenna2,AP1_290_Antenna2,AP1_300_Antenna2,AP1_280_Antenna3,AP1_290_Antenna3,AP1_300_Antenna3,AP1_280_Antenna4,AP1_290_Antenna4,AP1_300_Antenna4,AP1_280_Antenna5,AP1_290_Antenna5,AP1_300_Antenna5,Anchor1_280_Antenna1,Anchor1_290_Antenna1,Anchor1_300_Antenna1,Anchor1_280_Antenna2,Anchor1_290_Antenna2,Anchor1_300_Antenna2,Anchor1_280_Antenna3,Anchor1_290_Antenna3,Anchor1_300_Antenna3,Anchor1_280_Antenna4,Anchor1_290_Antenna4,Anchor1_300_Antenna4,Anchor1_280_Antenna5,Anchor1_290_Antenna5,Anchor1_300_Antenna5,Anchor2_280_Antenna1,Anchor2_290_Antenna1,Anchor2_300_Antenna1,Anchor2_280_Antenna2,Anchor2_290_Antenna2,Anchor2_300_Antenna2,Anchor2_280_Antenna3,Anchor2_290_Antenna3,Anchor2_300_Antenna3,Anchor2_280_Antenna4,Anchor2_290_Antenna4,Anchor2_300_Antenna4,Anchor2_280_Antenna5,Anchor2_290_Antenna5,Anchor2_300_Antenna5,Anchor3_280_Antenna1,Anchor3_290_Antenna1,Anchor3_300_Antenna1,Anchor3_280_Antenna2,Anchor3_290_Antenna2,Anchor3_300_Antenna2,Anchor3_280_Antenna3,Anchor3_290_Antenna3,Anchor3_300_Antenna3,Anchor3_280_Antenna4,Anchor3_290_Antenna4,Anchor3_300_Antenna4,Anchor3_280_Antenna5,Anchor3_290_Antenna5,Anchor3_300_Antenna5,Anchor4_280_Antenna1,Anchor4_290_Antenna1,Anchor4_300_Antenna1,Anchor4_280_Antenna2,Anchor4_290_Antenna2,Anchor4_300_Antenna2,Anchor4_280_Antenna3,Anchor4_290_Antenna3,Anchor4_300_Antenna3,Anchor4_280_Antenna4,Anchor4_290_Antenna4,Anchor4_300_Antenna4,Anchor4_280_Antenna5,Anchor4_290_Antenna5,Anchor4_300_Antenna5,AP1_distance_Antenna1,AP1_distance_Antenna2,AP1_distance_Antenna3,AP1_distance_Antenna4,AP1_distance_Antenna5,AP1_Longitude,AP1_Latitude
0,0,0,0,0,0,0,0,0,150.6184,134.7327,108.8801,0,0,0,0,0,0,0,0,0,0,0,0,3.4772,40.6912,56.7842,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,7.476,5.5412,12.3954,0.0097,17.8496,40.7495,0,0,0,0,0,0,0,0,0,1.2376,1.302,4.0137,8.5583,61.3121,63.364,0,0,0,0,0,0,0,0,0,0.9164,0.1665,2.2017,144.6539,124.6377,100.5296,31.97,21.97,21.05,0.11,10.44,-8.50096166,40.89703795
0,0,0,0,0,0,0,0,0,154.87,150.8929,103.5584,0,0,0,0,0,0,0,0,0,0,0,0,1.3472,39.1242,52.1283,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,4.7087,5.8162,11.2832,2.0333,17.2437,32.5025,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.1653,0.521,38.9407,48.768,0,0,0,0,0,0,0,0,0,2.1103,1.1652,0.4922,147.069,106.5485,102.1844,31.97,21.97,21.05,0.11,10.44,-8.50096166,40.89703795
0,0,0,0,0,0,0,0,0,128.1232,126.9811,109.8978,0,0,0,0,0,0,0,0,0,0,0,0,1.7103,41.601,55.8363,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,4.3864,12.3663,3.2045,17.7054,33.2129,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.4855,0,55.7368,72.7901,0,0,0,0,0,0,0,0,0,0.9949,1.467,0.5142,146.0222,121.9877,101.069,31.97,21.97,21.05,0.11,10.44,-8.50096166,40.89703795
0,0,0,0,0,0,0,0,0,130.0027,122.7459,107.6292,0,0,0,0,0,0,0,0,0,0,0,0,2.7514,41.675,56.2315,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0.0057,8.2922,12.6361,0,17.3787,34.3694,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9416,0,58.2592,66.1487,0,0,0,0,0,0,0,0,0,1.7194,0,1.841,128.4938,113.7209,104.2156,31.97,21.97,21.05,0.11,10.44,-8.50096166,40.89703795
0,0,0,0,0,0,0,0,0,143.7347,150.1516,113.3379,0,0,0,0,0,0,0,0,0,0,0,0,2.2334,42.0006,60.1574,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,8.9543,9.7794,4.3229,17.2559,32.0788,0,0,0,0,0,0,0,0,0,1.2376,1.302,4.0673,0,49.1052,33.0231,0,0,0,0,0,0,0,0,0,0.1172,0,0,139.5767,112.8319,97.2097,31.97,21.97,21.05,0.11,10.44,-8.50096166,40.89703795
0,0,0,0,0,0,0,0,0,107.3247,136.4475,102.6639,0,0,0,0,0,0,0,0,0,0,0,0,2.2664,39.7776,54.5762,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,2.278,2.6363,10.2343,0.9103,21.0302,34.3818,0,0,0,0,0,0,0,0,0,1.2376,1.302,4.1242,0,50.0526,66.6252,0,0,0,0,0,0,0,0,0,1.4573,1.599,0.6724,128.9833,112.4417,106.2222,31.96,21.95,21.03,0.11,10.44,-8.50096174,40.89703807
0,0,0,0,0,0,0,0,0,155.2523,149.7631,111.266,0,0,0,0,0,0,0,0,0,0,0,0,1.7673,40.3479,52.1381,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,5.4045,8.8112,0,19.1357,28.4287,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.5021,0.3406,50.9693,57.0543,0,0,0,0,0,0,0,0,0,2.244,1.2341,2.454,134.0702,113.0373,110.0246,31.81,21.96,21.01,0.35,10.2,-8.50096408,40.8970368
0,0,0,0,0,0,0,0,0,112.0479,136.755,117.1297,0,0,0,0,0,0,0,0,0,0,0,0,2.3837,40.8866,55.3076,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,4.9354,11.6586,2.1923,17.3221,31.0853,0,0,0,0,0,0,0,0,0,1.2376,1.302,4.0048,21.4729,55.6929,65.3958,0,0,0,0,0,0,0,0,0,1.9248,0.1112,1.981,129.6302,91.8646,90.0261,31.65,21.86,20.91,0.5,10.04,-8.50096609,40.8970368
0,0,0,0,0,0,0,0,0,167.4989,131.941,101.4582,2.7723,0,1.134,0,0,0,0,0,0,0,0,0,0.8389,43.2654,57.9088,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,0.0153,11.946,2.2371,15.5891,34.2939,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.3643,0.7511,42.8236,38.4022,0,0,0,0,0,0,0,0,0,1.8276,1.4407,1.9373,122.7793,120.851,86.056,31.52,21.84,20.87,0.69,9.85,-8.50096811,40.89703604
0,0,0,0,0,0,0,0,0,176.6751,127.1146,109.1225,2.4255,0.6555,1.766,0,0,0,0,0,0,0,0,0,2.2511,40.7454,61.8933,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,1.6256,1.7142,15.717,0.6093,17.7883,30.4097,0,0,0,0,0,0,0,0,0,1.2376,1.302,4.0885,8.9126,55.7945,57.1753,0,0,0,0,0,0,0,0,0,1.2497,0,1.758,137.1534,127.9104,128.5623,31.39,21.78,20.8,0.83,9.72,-8.50096978,40.89703579
