RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-73.41,-71.59,-62.44,-42.16,-8.65986888,40.63398212
-73.41,-71.59,-62.44,-42.16,-8.65986888,40.63398212
-73.41,-71.59,-62.44,-42.16,-8.65986888,40.63398212
-75.43,-74.18,-63.62,-36.9,-8.65989067,40.63395717
-77.48,-72.06,-63.33,-38.48,-8.65988329,40.63396226
-73.41,-71.62,-62.5,-41.98,-8.65986988,40.63398109
-73.18,-71.47,-62.51,-42.2,-8.65987659,40.63398618
-71.89,-70.29,-61.54,-47.54,-8.6598853,40.63399229
-71.64,-70.13,-61.56,-47.98,-8.65989201,40.63399788
-71.43,-67.98,-61.56,-44.44,-8.65989737,40.63400297
-71.08,-65.76,-61.6,-45.16,-8.65990609,40.63401061
-68.72,-65.51,-61.64,-47.96,-8.65991481,40.63401875
-66.74,-65.34,-61.36,-46.62,-8.65990944,40.63402485
-66.86,-67.25,-61.07,-47.04,-8.65990207,40.63402842
-66.98,-67.11,-60.72,-49.61,-8.65989402,40.63403351
-67.14,-66.93,-60.22,-50.38,-8.65988329,40.63404063
-67.2,-66.71,-59.82,-53.09,-8.65987659,40.63404826
-67.29,-66.56,-59.48,-55.6,-8.65987055,40.63405386
-65.4,-66.35,-57.0,-56.26,-8.6598625,40.63406149
-65.55,-66.18,-56.51,-56.84,-8.65985379,40.63406811
-67.71,-67.98,-55.94,-57.46,-8.6598444,40.63407574
-67.88,-69.8,-55.37,-58.02,-8.65983501,40.63408287
-66.08,-67.66,-54.74,-58.55,-8.65982495,40.63408948
-68.27,-67.47,-54.03,-59.13,-8.65981489,40.63409762
-68.43,-65.23,-51.33,-59.7,-8.65980618,40.63410678
-68.64,-63.11,-50.59,-60.16,-8.65979612,40.6341134
-70.81,-60.97,-49.93,-60.58,-8.65978807,40.63412001
-73.02,-60.81,-49.07,-61.06,-8.65977801,40.63412816
-75.19,-60.63,-48.27,-61.53,-8.6597693,40.63413681
-73.4,-62.61,-47.45,-61.84,-8.65975991,40.63414139
-73.55,-64.53,-46.76,-62.14,-8.65975253,40.63414698
-73.48,-64.21,-45.04,-62.37,-8.65975589,40.63415513
-73.33,-63.81,-45.68,-62.58,-8.65976259,40.63416378
-69.09,-63.39,-46.61,-62.67,-8.65977332,40.63417039
-67.92,-61.05,-47.29,-64.77,-8.65978137,40.63417599
-67.73,-60.64,-48.0,-64.9,-8.65979008,40.6341826
-68.55,-58.34,-48.6,-66.96,-8.65979813,40.63418668
-68.36,-57.74,-51.37,-69.22,-8.65980752,40.63419685
-66.23,-57.37,-51.83,-69.37,-8.65981355,40.63420245
-64.08,-55.02,-52.32,-68.47,-8.65982093,40.63420703
-63.84,-54.41,-55.06,-65.66,-8.65983233,40.63421517
-65.63,-53.72,-57.76,-63.91,-8.65984306,40.63422433
-61.48,-53.21,-58.25,-66.07,-8.6598511,40.63423044
-61.16,-52.5,-58.98,-64.24,-8.65986586,40.63423756
-61.05,-52.06,-59.32,-64.38,-8.65987189,40.63424265
-60.93,-51.42,-61.76,-68.58,-8.65987994,40.63424978
-62.7,-50.85,-62.23,-70.72,-8.65989067,40.63425486
-68.54,-49.99,-62.76,-68.97,-8.6599014,40.63426351
-66.37,-49.22,-61.22,-67.17,-8.65991212,40.63427064
-66.37,-49.22,-61.22,-67.17,-8.65991212,40.63427064
-68.28,-48.34,-63.64,-67.41,-8.65992084,40.63427878
-65.24,-47.48,-61.98,-67.63,-8.65992755,40.63428641
-64.11,-46.81,-62.34,-69.79,-8.65993693,40.63429201
-61.98,-44.41,-62.61,-69.89,-8.65994498,40.63429557
-63.71,-44.47,-64.88,-71.92,-8.65995571,40.63429608
-63.37,-44.97,-63.1,-71.86,-8.65996644,40.63429354
-64.95,-45.66,-65.32,-73.79,-8.65997851,40.63428998
-64.58,-46.36,-65.46,-73.68,-8.65998723,40.6342854
-62.19,-47.1,-65.56,-70.54,-8.65999527,40.6342798
-61.6,-50.13,-67.72,-67.34,-8.66000667,40.63427115
-61.18,-50.78,-67.83,-65.21,-8.66001472,40.63426555
-60.7,-53.44,-65.97,-65.07,-8.66002344,40.63425944
-58.17,-54.14,-66.08,-66.88,-8.66003148,40.63425181
-57.57,-54.84,-64.23,-66.71,-8.66004087,40.63424418
-56.86,-57.55,-68.41,-66.53,-8.6600516,40.63423604
-54.18,-58.14,-68.59,-68.41,-8.66006166,40.63422942
-53.33,-60.82,-64.78,-70.21,-8.66007239,40.63422026
-52.68,-61.27,-64.93,-70.1,-8.66008043,40.63421415
-51.06,-61.67,-65.06,-68.0,-8.66008781,40.63420856
