1648670352.216013, sdrt-health/mac:02010b41cdec/state, online
1648670352.216384, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 300}
1648670352.887312, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648670357.906754, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648670358.174872, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670358.244713, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670358.278461, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670358.324174, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670358.372908, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670358.373172, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670359.166107, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670359.200007, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670359.255656, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670359.256133, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670359.268309, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670359.268498, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670359.415089, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670359.455217, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670359.51029, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670359.510464, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670359.525367, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670359.529203, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670359.565034, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670359.621039, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670359.62144, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648670359.633776, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670359.660506, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670359.660834, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670360.205409, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670360.247846, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670360.273824, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670360.274038, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670360.294941, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670360.46369, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670360.463951, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670360.490348, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670360.492165, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670360.529692, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670360.530717, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670360.5703, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670360.705102, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670360.749836, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670360.801915, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670360.802161, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670360.843269, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670360.843467, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670360.872406, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670360.923229, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670360.923502, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670360.93708, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670360.952079, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670361.184155, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670361.35984, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670361.399564, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670361.455808, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670361.456238, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670361.468862, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670361.495287, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670361.628931, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670361.66568, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670361.723996, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670361.724291, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648670361.737187, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670361.744787, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670361.812717, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670361.813605, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670361.825774, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670361.826014, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670361.850819, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670362.026486, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670362.026806, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670362.057832, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670362.1222, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670362.122398, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670362.135088, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670362.135278, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648670362.144928, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670362.189908, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670362.249129, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670362.249324, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
