RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-73.65,-70.87,-62.69,-41.19,-8.65986579,40.63397167
-73.65,-70.87,-62.69,-41.19,-8.65986579,40.63397167
-73.65,-70.87,-62.69,-41.19,-8.65986579,40.63397167
-73.65,-70.87,-62.69,-41.19,-8.65986579,40.63397167
-75.6,-72.3,-63.68,-170,-8.659887,40.63395241
-75.52,-72.26,-63.68,-36.46,-8.65988928,40.63395397
-77.51,-72.14,-63.45,-37.84,-8.65988472,40.63395917
-77.55,-72.06,-63.24,-38.9,-8.65987941,40.63396271
-75.43,-71.91,-63.07,-39.75,-8.65987959,40.63396871
-75.58,-71.95,-62.95,-40.16,-8.65987278,40.63396771
-73.53,-71.83,-62.77,-40.9,-8.65987124,40.63397273
-73.36,-71.78,-62.89,-40.56,-8.65987817,40.63397398
-73.26,-71.61,-62.7,-41.44,-8.65987781,40.63398047
-73.48,-71.73,-62.63,-41.46,-8.65987009,40.63397677
-73.62,-71.77,-62.52,-41.79,-8.65986373,40.63397573
-73.71,-71.63,-62.09,-43.13,-8.65985389,40.63398244
-73.57,-71.62,-62.28,-42.6,-8.65986116,40.63398174
-73.44,-71.62,-62.46,-42.07,-8.65986842,40.63398104
-73.55,-71.49,-62.02,-43.38,-8.65985762,40.63398739
-73.4,-71.52,-62.31,-42.61,-8.65986686,40.63398503
-73.22,-71.53,-62.57,-41.94,-8.65987635,40.63398392
-73.22,-71.41,-62.33,-42.74,-8.65987228,40.63398889
-73.39,-71.41,-62.1,-43.25,-8.6598639,40.63398958
-73.24,-70.32,-62.12,-43.33,-8.65986837,40.63399259
-73.1,-71.23,-62.15,-45.44,-8.65987285,40.6339956
-73.08,-71.33,-62.36,-44.8,-8.65987678,40.63399133
-73.08,-71.44,-62.58,-44.1,-8.65988071,40.63398707
-73.15,-71.61,-62.81,-42.14,-8.65988278,40.63398044
-73.0,-71.49,-62.79,-43.48,-8.65988661,40.63398443
-72.97,-71.59,-63.01,-42.66,-8.65989155,40.63398034
-73.2,-71.73,-62.99,-40.36,-8.65988475,40.6339756
-75.02,-71.7,-63.17,-41.92,-8.65989339,40.63397597
-75.15,-71.81,-63.23,-41.41,-8.65989062,40.6339718
-75.29,-71.86,-63.16,-39.51,-8.65988551,40.63397016
-77.45,-72.06,-63.36,-38.34,-8.65988495,40.63396232
-75.41,-73.17,-63.64,-36.8,-8.65989199,40.63395734
-75.28,-72.11,-63.66,-36.9,-8.65989587,40.63395975
-77.33,-74.06,-63.51,-37.69,-8.65989115,40.63396182
-77.25,-71.92,-63.32,-38.8,-8.6598898,40.63396761
-75.22,-72.05,-63.62,-37.24,-8.65989697,40.63396202
-75.2,-74.1,-63.74,-36.56,-8.65990001,40.63395988
-75.26,-74.16,-63.8,-36.06,-8.65989973,40.63395739
-75.36,-72.22,-63.8,-35.86,-8.65989684,40.63395517
-75.3,-73.23,-63.9,-35.28,-8.65990082,40.63395434
-77.49,-72.34,-63.89,-35.03,-8.65989491,40.63395019
-77.28,-70.28,-64.01,-34.48,-8.6599038,40.6339523
-75.35,-70.35,-64.09,-33.69,-8.65990374,40.63394929
-75.41,-72.39,-64.08,-33.61,-8.65990151,40.63394795
-75.47,-70.49,-64.23,-32.12,-8.6599035,40.63394356
-75.35,-70.44,-64.26,-32.09,-8.65990756,40.63394554
-75.27,-70.41,-64.29,-32.06,-8.65991065,40.63394664
-75.32,-70.46,-64.34,-31.38,-8.6599104,40.63394449
-75.37,-70.51,-64.39,-30.66,-8.65991014,40.63394233
-75.34,-68.52,-64.43,-30.28,-8.65991199,40.63394213
-75.46,-70.57,-64.41,-30.12,-8.65990814,40.63393997
-75.47,-68.67,-64.61,-27.22,-8.65991287,40.63393536
-75.38,-68.62,-64.61,-27.73,-8.65991548,40.63393755
-75.27,-72.59,-64.67,-27.58,-8.65992022,40.63393865
-75.37,-70.66,-64.68,-26.47,-8.65991755,40.63393591
-75.43,-70.73,-64.78,-24.3,-8.65991842,40.6339328
-75.36,-72.72,-64.83,-23.8,-8.65992194,40.63393308
-75.36,-72.72,-64.83,-23.8,-8.65992194,40.63393308
-75.47,-72.81,-64.9,-20.8,-8.65992039,40.63392919
-75.43,-72.87,-65.07,-15.51,-8.65992634,40.63392644
-75.23,-72.7,-64.93,-24.09,-8.6599283,40.6339338
-75.28,-74.8,-65.07,-20.8,-8.65993061,40.63392975
-75.21,-74.78,-65.11,-22.49,-8.6599337,40.63393054
-75.13,-74.71,-65.04,-24.77,-8.65993412,40.63393348
-75.03,-74.7,-67.12,-170,-8.65993919,40.6339341
-74.9,-72.62,-67.11,-170,-8.6599424,40.63393726
-74.99,-74.62,-67.0,-27.63,-8.6599368,40.63393748
-75.09,-74.61,-64.89,-26.96,-8.6599312,40.63393769
-75.2,-72.62,-64.8,-26.52,-8.65992548,40.63393736
-75.06,-72.5,-66.71,-29.13,-8.65992706,40.63394221
-75.14,-72.51,-64.65,-29.04,-8.65992336,40.63394187
-75.18,-72.5,-64.57,-29.63,-8.65992002,40.63394272
-75.2,-68.42,-64.39,-31.42,-8.65991528,40.63394611
