RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,RSSI_Antenna_5,AssetPoint_Longitude,AssetPoint_Latitude
-73.46278414212811,-170,-83.21135464165984,-170,-55.14509073796742,-8.50131297,40.89710183
-73.41357202273811,-170,-83.15851907162323,-170,-55.112021557712794,-8.50131243,40.89710193
-74.30712178044593,-170,-83.05650989689379,-170,-55.151259074883356,-8.50131042,40.89710244
-74.15804369747796,-170,-83.03945760631339,-170,-53.105962389588,-8.50130741,40.89710396
-74.1175505376471,-170,-84.02750795284675,-170,-51.058651400134096,-8.50130506,40.89710523
-74.14717546159378,-170,-83.90383038164195,-170,-51.0878233702096,-8.50130506,40.89710523
-73.06606737321597,-170,-84.99474917541886,-170,-50.5908543238144,-8.50130506,40.89710725
-73.05196135872929,-170,-85.06198604588938,-170,-50.8390971346614,-8.50130506,40.89710725
-72.8896804181716,-170,-81.08668778021622,-170,-50.28437729097994,-8.50130606,40.89710979
-72.01043800265478,-170,-84.88535080396154,-170,-49.94781541122195,-8.50130774,40.89711182
-71.9579025239895,-170,-84.26891951545082,-170,-49.95442340396501,-8.50130774,40.89711182
-68.79515837088458,-170,-84.97722168909326,-170,-49.326262924345876,-8.50131042,40.89711384
-68.85730295201726,-170,-85.22719812882922,-170,-49.40890003572339,-8.50131042,40.89711384
-69.02407014273983,-170,-85.26028258720187,-170,-49.41382526425896,-8.50131042,40.89711384
-69.97222606438814,-170,-85.36476786729406,-170,-48.692171444745405,-8.50131277,40.89711688
-69.90589337329898,-170,-85.4489070516004,-170,-47.81688977900828,-8.50131612,40.89711993
-69.92514374507039,-170,-83.52314462000633,-170,-46.80841759006621,-8.50131847,40.89712373
-69.94019598079208,-170,-83.39174233956601,-170,-46.76706973737403,-8.50131847,40.89712373
-69.94193086622373,-170,-83.64740958764305,-170,-46.0382754908671,-8.50132048,40.89712626
-69.93722603968416,-170,-83.67752452741168,-170,-46.033210097393656,-8.50132048,40.89712626
-69.85427937338778,-170,-81.74841207450483,-170,-45.10577471376888,-8.50132216,40.8971293
-68.33395805985076,-170,-83.82132304039078,-170,-43.41710108561198,-8.50132484,40.89713412
-69.82543353202978,-170,-83.85813268690718,-170,-43.40433062666393,-8.50132484,40.89713412
-69.19672963963905,-170,-82.75094880802021,-170,-41.34575634070869,-8.50132719,40.89713969
-69.78157023121494,-170,-83.97348181593412,-170,-41.34729474183372,-8.50132719,40.89713969
-69.7148391563123,-170,-83.98489805589594,-170,-40.268152322308644,-8.50132853,40.89714197
-69.71122398774682,-170,-84.06966707148817,-170,-39.341228354664366,-8.50132886,40.897144
-69.72314900324487,-170,-84.04223389733262,-170,-39.44935501497673,-8.50132886,40.897144
-69.71273665951045,-170,-82.1587084577206,-170,-37.89571473071323,-8.5013302,40.89714628
-69.70580162966093,-170,-82.15867116981562,-170,-38.09922240711375,-8.5013302,40.89714628
-69.68520753431223,-170,-82.22419249262867,-170,-36.4046618170253,-8.50133188,40.89714932
-69.30408459029773,-170,-82.28370877986104,-170,-34.02080639391232,-8.50133356,40.89715338
-69.65116896360715,-170,-82.28959807091051,-170,-34.01973018377557,-8.50133356,40.89715338
-69.48200174360093,-170,-80.26984355351019,-170,-35.11685965852314,-8.50133087,40.89715515
-69.47839113303067,-170,-80.28376871935166,-170,-35.176209309977075,-8.50133087,40.89715515
-69.33880439666504,-170,-82.19679911892463,-170,-36.989028222789585,-8.50132719,40.89715642
-69.12287828794723,-170,-79.26330043563533,-170,-38.879670576807705,-8.50132283,40.89715743
-69.11233187217361,-170,-80.13189707504364,-170,-38.85170830099631,-8.50132283,40.89715743
-68.99853722581167,-170,-82.1043373700376,-170,-39.02983239724354,-8.50132249,40.8971549
-67.61063749312159,-170,-81.72462141679581,-170,-38.536904676024974,-8.50132249,40.8971549
-69.29214891666831,-170,-80.02936465853722,-170,-39.79465125076393,-8.50132149,40.89715135
-69.28835657678727,-170,-79.84099401250964,-170,-39.96260694242408,-8.50132149,40.89715135
-69.42047729360706,-170,-81.94959705608979,-170,-40.811826772095316,-8.50132149,40.89714552
-69.44209311428645,-170,-81.86852744686377,-170,-42.16995432143895,-8.50131948,40.89714324
-69.32708103804592,-170,-81.83063711031862,-170,-41.629492440494154,-8.50131948,40.89714324
-69.37655403310205,-170,-82.77761914983138,-170,-42.9444188636857,-8.5013178,40.89714147
-69.40848871395879,-170,-82.77466064503314,-170,-42.88861913752153,-8.5013178,40.89714147
-69.46074792499138,-170,-83.64882159601201,-170,-44.050265772095095,-8.50131579,40.89713817
-69.45228568613052,-170,-83.63850743369127,-170,-44.955494809619026,-8.50131411,40.89713538
-69.42686017667941,-170,-83.60649942289916,-170,-44.956235920352746,-8.50131411,40.89713538
-69.53496038871388,-170,-83.50855567034853,-170,-45.08032561059805,-8.50131378,40.89713285
-69.51986199689557,-170,-82.75533934254834,-170,-45.516166636104884,-8.50131378,40.89713285
-68.44555136293597,-170,-83.29871842652112,-170,-45.98797921093755,-8.50131009,40.89713234
-69.4453395511583,-170,-83.41496133673911,-170,-46.91020630916529,-8.50130774,40.89713006
-69.42384954415877,-170,-83.41486445092295,-170,-46.87543448206672,-8.50130774,40.89713006
-69.28261972150463,-170,-83.32462727337548,-170,-47.30921535212033,-8.50130372,40.89713108
-69.02366986667013,-170,-83.21862474047157,-170,-47.52879698276287,-8.50129835,40.89713285
-68.75223527991871,-170,-82.81922595108306,-170,-47.800669389765154,-8.50129835,40.89713285
-68.84877375476137,-170,-81.16367154509766,-170,-47.92025095759794,-8.50129567,40.89713564
-68.859318581261,-170,-81.2864927002494,-170,-47.258300984538906,-8.50129802,40.89713817
-68.80589250385492,-170,-81.28477319924323,-170,-47.229672797833764,-8.50129802,40.89713817
-68.87230389966585,-170,-81.08705190919277,-170,-46.37450159425738,-8.50130104,40.89714147
-68.6910790094312,-170,-81.36496655585206,-170,-46.29468573530007,-8.50130104,40.89714147
-68.829756168697,-170,-81.44785972367875,-170,-45.97075251714771,-8.50130238,40.89714273
-68.69995800953504,-170,-79.53315404734471,-170,-45.26402325903156,-8.50130472,40.89714476
-68.90117193814746,-170,-79.53609057283154,-170,-45.0373975939175,-8.50130472,40.89714476
-68.5115011968526,-170,-80.65058024990935,-170,-44.40106683875541,-8.50130741,40.89714755
-68.85807264626182,-170,-81.71666325834525,-170,-43.81084711441784,-8.50130875,40.89715059
-68.78425338002496,-170,-81.72899225603163,-170,-43.802151558324226,-8.50130875,40.89715059
-68.20804729413405,-170,-79.71528717685096,-170,-43.50723144321192,-8.50130908,40.89715388
-68.60327093765191,-170,-79.85385034961669,-170,-43.10080749345609,-8.50131009,40.89715693
-68.71277159815634,-170,-79.83382129855492,-170,-43.14136653748992,-8.50131009,40.89715693
-68.6471659712232,-170,-79.8134923464779,-170,-43.19620767747852,-8.50130975,40.89715971
-68.4961911431052,-170,-79.87899651843955,-170,-43.742076710420946,-8.50130808,40.89716149
-68.44703172289228,-170,-79.86519892004816,-170,-43.72050835808771,-8.50130808,40.89716149
-68.28166052067746,-170,-80.79646976768727,-170,-44.57872344797765,-8.50130472,40.89716275
-68.349169640492,-170,-79.55467331161665,-80.52097117397213,-45.29196671906697,-8.50130137,40.89715946
-68.25088237923258,-170,-79.45996956504264,-80.53054983849239,-45.19809526485194,-8.50130137,40.89715946
-68.32362183957069,-170,-79.50983309995046,-81.28417808531407,-45.716304166432366,-8.50129936,40.89715591
-68.33587776660845,-170,-79.58770535610549,-81.28197130463776,-45.69576796023544,-8.50129936,40.89715591
-68.33350272011785,-170,-79.43577757629012,-81.21409353521398,-46.36257377552918,-8.50129668,40.89715312
-68.25264235427036,-170,-79.12109477228597,-81.14820401517578,-46.92161610958121,-8.50129467,40.89714907
-68.38770717852574,-170,-79.35610357664316,-81.03619490868185,-46.79708784202076,-8.50129467,40.89714907
-68.42080753778893,-170,-78.94897354658283,-80.98728775638111,-47.499420811953144,-8.50129265,40.89714501
-68.47143057908389,-170,-79.23677577060803,-80.99251684288875,-47.52923110379526,-8.50129265,40.89714501
-68.465188332726,-170,-81.18401575774644,-80.95354574907671,-47.70943886285973,-8.50129165,40.89714375
-68.48387621878717,-170,-80.13621869811476,-80.83842686869653,-48.17971700963065,-8.50128997,40.89714121
-68.48331975158086,-170,-80.01799087210898,-80.70360549320537,-48.22989685947179,-8.50128997,40.89714121
-68.44088667438277,-170,-78.93879169437963,-85.85683327114496,-49.17954863943723,-8.50128494,40.89713792
-68.27437657889863,-170,-80.82566985153261,-81.64248632743713,-49.456955798676475,-8.50127991,40.89713792
-68.2701895905837,-170,-80.83109749930556,-81.63341591428514,-47.792228000029105,-8.50127991,40.89713792
-68.1503689177629,-170,-79.69598062468202,-78.53000735426566,-50.37558106013246,-8.50127589,40.89713614
-66.04874918018888,-170,-80.45398422354616,-80.43222623597435,-51.13568677075146,-8.50127153,40.89713564
-67.77566723648746,-170,-78.40848513377544,-85.84843005904244,-51.90127016355739,-8.50126449,40.8971364
-67.80244622256028,-170,-78.310296405181,-86.43252999081054,-51.86309964523244,-8.50126449,40.8971364
-67.7975650627969,-170,-78.3898504617791,-86.28387397128786,-51.9099335766942,-8.50126449,40.8971364
-67.52101477963603,-170,-78.14641887879672,-85.50157646146779,-51.783955353182236,-8.50126114,40.89713817
-67.37412124156239,-170,-78.32667972756728,-85.49693612602272,-52.09618370989155,-8.50126114,40.89713817
-67.40029494441247,-170,-78.35436233880259,-86.58210885444537,-52.17415308485956,-8.50126047,40.89714045
-67.485936882042,-170,-78.3384026274946,-86.57031778459097,-51.92266646365732,-8.50126047,40.89714045
-65.53255415453427,-170,-78.2410048046041,-86.66222068215299,-51.56250688229231,-8.50126382,40.89714223
-67.59213280396949,-170,-78.55271782491417,-86.71159709141065,-51.33277459179767,-8.50126684,40.89714324
-67.59045118276487,-170,-78.65546078518048,-84.80865847455397,-50.489585125102735,-8.50126985,40.89714476
-67.70254487690768,-170,-76.82988400790202,-82.87268644048342,-50.2024837627582,-8.50127388,40.89714704
-67.67341584737517,-170,-76.83113700425366,-82.85968155969641,-50.27109541677132,-8.50127388,40.89714704
-67.81995905887898,-170,-77.99660398299226,-81.02671107571456,-49.495396661096784,-8.50127891,40.89714958
-67.88610700371106,-170,-79.11777907733635,-79.15607533018064,-48.80462145889768,-8.50128293,40.89715211
-67.88841243730567,-170,-79.12249259318835,-79.15640981037811,-48.81467603147436,-8.50128293,40.89715211
-66.33436155165754,-170,-79.88141884425845,-80.34553807022506,-48.213157653951896,-8.50128628,40.89715465
-67.87177678343444,-170,-80.30931865566083,-82.34129524148774,-47.86578056363606,-8.50128729,40.89715617
-67.81508638622935,-170,-80.30086781635309,-82.26079482406816,-48.03210079922549,-8.50128729,40.89715617
-67.79476601631409,-170,-82.33951179717239,-81.39733605053968,-48.006005592712036,-8.50128729,40.89715895
-67.50253298826948,-170,-82.16450293640746,-81.36428760272153,-48.01885925462512,-8.50128729,40.89715895
-67.73045681854948,-170,-81.36899471481442,-79.50603095152748,-48.11022733097839,-8.50128695,40.89716149
-67.66415066811734,-170,-83.03332505509178,-79.57373948173112,-48.154633733178706,-8.50128695,40.89716352
-67.67235996664633,-170,-83.4260719203422,-79.532505629623,-48.147397649091594,-8.50128695,40.89716352
-67.55845074054308,-170,-83.415787548494,-80.4151334112192,-48.43869130298035,-8.50128528,40.89716504
-67.53435625497457,-170,-83.3970048859029,-80.57389057505284,-48.42869967636348,-8.50128528,40.89716504
-67.34108880466016,-170,-81.2757987800102,-83.63173475279321,-49.19637008085599,-8.50128092,40.8971663
-67.08911773484971,-170,-79.30464047678304,-84.64214818876772,-49.25522293394647,-8.50127857,40.89716757
-67.20442646009117,-170,-79.30303374025004,-84.633189747904,-49.536315370402605,-8.50127857,40.89716757
-67.12175274268074,-170,-79.21381984203437,-85.59678328290842,-49.86495071763433,-8.50127622,40.8971663
-67.02106732353835,-170,-79.21415438666119,-85.26382898706336,-49.87754148790293,-8.50127622,40.8971663
-67.14444316679118,-170,-79.08517825808443,-85.54952450126086,-49.86581265720794,-8.50127622,40.8971663
-67.22167444791648,-170,-83.02538017094244,-85.30399982475356,-50.01230896444736,-8.50127455,40.89716149
-67.27952758349272,-170,-82.96256100761255,-87.22311700805025,-50.31601820376133,-8.5012722,40.89715769
-66.26987514812255,-170,-80.72989634981737,-85.79876866475468,-50.74870072821346,-8.50126918,40.89715439
-66.26285752673292,-170,-80.81152019404696,-86.9311109547357,-50.753562173667454,-8.50126918,40.89715439
-67.23114850715078,-170,-79.66346666050703,-85.9916596627526,-51.1696340122642,-8.50126617,40.8971516
-67.2211135597677,-170,-82.57780016673233,-85.91939295459949,-51.61807893982275,-8.50126281,40.89714958
-67.19908045746209,-170,-82.57734759172861,-85.92625791234957,-51.52994310094697,-8.50126281,40.89714958
-66.98696430495428,-170,-84.47957145721827,-86.84652372546093,-52.001874936724406,-8.50125946,40.89714806
-67.1473572207404,-170,-84.4656406379054,-86.80731116615422,-52.059733780841356,-8.50125946,40.89714806
-65.07374292447109,-170,-82.33128202179716,-87.74807421252675,-52.562947087088105,-8.5012551,40.89714603
-64.39262061741495,-170,-81.1532068368857,-88.28968211953608,-53.18415554977471,-8.50125007,40.89714349
-66.99610507137024,-170,-80.7817989678621,-88.6217286201707,-53.18872932791179,-8.50125007,40.89714349
-66.87538225346424,-170,-79.0635868537873,-86.78553544015327,-53.412317260996055,-8.50124739,40.89714375
-66.72121123756182,-170,-79.01445642881288,-87.54673081591352,-53.4549592329502,-8.50124739,40.89714375
-65.67684160767627,-170,-82.05181547440284,-86.62888000263936,-53.53488234053112,-8.50124571,40.89714704
-66.45983761087686,-170,-81.87428575384605,-85.81521498253586,-53.34287182095363,-8.50124605,40.89714958
-66.51546702828755,-170,-82.12069437265356,-85.80049862499828,-53.47360274012731,-8.50124605,40.89714958
-65.43520799037053,-170,-78.24671195703291,-88.70377005677173,-53.168201378036756,-8.5012484,40.89715363
-65.4892483768993,-170,-78.30292183832249,-88.9042583498248,-53.116065388954624,-8.5012484,40.89715363
-66.37818722155706,-170,-82.32665020916619,-87.05357306557971,-52.78018986389867,-8.50125208,40.89715971
-66.36681019165012,-170,-82.38442959204838,-87.18487563939446,-52.66002388306194,-8.50125208,40.89715971
-66.35237717930761,-170,-82.53915234064473,-90.21606585603764,-52.50634844607782,-8.50125477,40.89716301
-66.362503907735,-170,-82.7304887088648,-88.95813988577618,-52.2162607153984,-8.50125745,40.89716529
-66.37103343339666,-170,-82.76361531980507,-89.28632338486037,-52.162004976577876,-8.50125745,40.89716529
-66.27755922572594,-170,-86.79605177698039,-88.48077936013857,-52.08199185385741,-8.50125913,40.89716732
-66.25695056594431,-170,-86.80846809744186,-88.30087193814396,-52.0716975314864,-8.50125913,40.89716732
-66.08592180874925,-170,-86.91786171177927,-89.61693909900194,-52.00164215041546,-8.50126047,40.89717036
-66.32238191264648,-170,-86.89829533246757,-89.6046755986628,-51.837772857358516,-8.50126047,40.89717036
-66.18034413423874,-170,-84.93122304886268,-89.70128621096536,-52.15539454767564,-8.5012598,40.89717289
-66.02182634190088,-170,-82.93893297269474,-91.74543636031466,-52.45380807172406,-8.50125745,40.89717416
-66.01979584606731,-170,-82.93239627157274,-91.73039263361426,-52.43027599104589,-8.50125745,40.89717416
-65.94401249283203,-170,-82.81376193526373,-89.34736837863059,-52.77884387788761,-8.5012541,40.89717289
-65.89490839027462,-170,-82.78696565570358,-89.51658838158781,-52.71969425649021,-8.5012541,40.89717289
-65.63555698940846,-170,-81.04849043435934,-85.62072729517546,-52.938132412222046,-8.50125141,40.89717162
-65.84431575089266,-170,-83.47936867796264,-85.55101525194725,-53.155350386417346,-8.5012494,40.89716985
-65.84932165649762,-170,-83.66011537401283,-85.51414764165011,-53.035947280378096,-8.5012494,40.89716985
-65.77386754192935,-170,-84.56308750226327,-85.12044195509695,-53.359999091040116,-8.50124739,40.89716782
