1648661613.45496, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 280}
1648661614.038957, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648661619.059177, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648661619.685793, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661619.723976, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661619.778574, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661619.778834, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661619.791918, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661619.806092, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661620.087667, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661620.138946, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661620.196937, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661620.197187, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661620.210408, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661620.210584, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661620.338407, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648661620.378777, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661620.431155, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648661620.431397, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648661620.444698, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661621.8279, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661621.874111, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661621.900488, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661621.900737, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661621.900932, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661622.448879, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661622.486111, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661622.513206, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661622.513436, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661622.527002, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661622.527204, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661622.691512, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661622.738126, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661622.764158, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661622.764332, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661622.777874, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661622.96268, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661622.963108, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661622.989392, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661623.04191, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661623.042144, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661623.055167, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661623.087906, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661623.128205, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661623.180676, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661623.180847, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661623.193753, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661623.208168, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661623.247279, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661623.301835, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
