1648663115.035755, sdrt-health/mac:02010b41cdec/state, online
1648663115.036063, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 300}
1648663115.909308, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648663120.930149, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648663121.587923, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663121.588387, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663121.628179, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663121.657578, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663121.657771, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663121.658031, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663121.658273, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663121.677578, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663121.707081, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663121.70734, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663121.707524, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663121.707699, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663121.727584, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663121.79139, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663121.791839, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663121.806077, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663121.844352, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663121.844688, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663121.858639, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663121.87684, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663121.906217, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663121.906414, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663121.927193, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663121.992392, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663121.992803, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663122.007074, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 86
1648663122.026982, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663122.056005, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663122.05623, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663122.077473, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663122.136867, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663122.166645, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663122.166921, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663122.167128, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663122.180369, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663122.180575, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663122.227621, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663122.276725, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663122.306741, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663122.306977, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663122.328526, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663122.378679, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663122.441998, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663122.442442, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663122.455861, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663122.456064, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663122.477184, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663122.527787, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663122.559966, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663122.560301, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663122.577119, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663122.608574, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663122.608799, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663122.627338, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663122.691342, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663122.691762, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663122.705455, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663122.705876, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663122.725873, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663122.777827, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663122.842901, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663122.843344, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663122.856278, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663122.856691, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663122.856992, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663122.877033, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663122.926796, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663122.956621, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663122.957129, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663122.976871, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663123.042048, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663123.042475, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663123.056219, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663123.077304, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663123.106516, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663123.106767, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663123.14712, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663123.197796, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663123.261481, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663123.261914, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663123.297272, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663123.3615, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663123.361992, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663123.375579, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663123.375952, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663123.396559, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663123.448385, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663123.511831, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663123.51234, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663123.526434, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663123.548848, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663123.612193, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663123.612608, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663123.625859, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663123.62612, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663123.647117, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663123.696991, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 103
1648663123.697428, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663123.737503, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648663123.802646, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648663123.803185, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663123.83766, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663123.866552, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
