RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,RSSI_Antenna_5,AssetPoint_Longitude,AssetPoint_Latitude
-73.45704004550828,-170,-82.91818230166146,-170,-54.91506986304289,-8.50131297,40.89710183
-73.46674672920159,-170,-83.1852105280874,-170,-55.152977158102765,-8.50131297,40.89710183
-73.45048956112458,-170,-83.20191453431535,-170,-55.064514546599575,-8.50131297,40.89710183
-73.43187935043585,-170,-83.15750037422376,-170,-55.152808999578944,-8.50131297,40.89710183
-73.44488811520975,-170,-83.19629275009083,-170,-55.14002957924118,-8.50131297,40.89710183
-73.46912305682727,-170,-82.87436983552486,-170,-54.9882786835485,-8.50131297,40.89710183
-73.37499068785775,-170,-83.15303842372425,-170,-54.83810341270283,-8.50131297,40.89710183
-74.45737675416937,-170,-83.08407626432123,-170,-55.14014633121381,-8.50131311,40.89710117
-74.35250993840533,-170,-83.13732619816348,-170,-55.258159667914796,-8.50131042,40.89710193
-74.28495086233596,-170,-83.06149720479725,-170,-53.19299018235058,-8.50130741,40.89710295
-74.28491342656079,-170,-83.0747687385369,-170,-53.308699467149694,-8.50130741,40.89710295
-73.34784755854474,-170,-83.21054171815625,-170,-55.096538895208354,-8.50131297,40.89710183
-73.46935147126597,-170,-83.17803242529638,-170,-55.1510474958041,-8.50131297,40.89710183
-73.38299662327981,-170,-83.1991872629793,-170,-55.15324023098517,-8.50131297,40.89710183
-73.73608911227076,-170,-86.9691570430326,-170,-51.31500514913089,-8.50130338,40.89710421
-74.02959968120852,-170,-84.62691644260762,-170,-51.393393965742305,-8.50130104,40.89710497
-73.44034397815493,-170,-83.08915017360202,-170,-55.14887503254927,-8.50131297,40.89710183
-73.94892945134401,-170,-84.79290806892983,-170,-51.44284102005081,-8.50130104,40.89710497
-74.46643655197936,-170,-83.13730373235693,-170,-55.24848829983094,-8.50131311,40.89710117
-73.71239454757918,-170,-81.87232098409731,-170,-51.410668969897415,-8.50129869,40.89710624
-73.81249546058766,-170,-84.89444642445218,-170,-51.121832458085166,-8.50129835,40.89710877
-73.73658156791394,-170,-84.38444527739793,-170,-50.94074876995145,-8.50129835,40.89710877
-74.35155223447904,-170,-83.09359104329243,-170,-55.27329120993983,-8.50131042,40.89710193
-74.23191851611585,-170,-83.07809800363847,-170,-53.19233708327733,-8.50130741,40.89710295
-73.77995282266917,-170,-84.96215879523471,-170,-50.59280320439115,-8.50130003,40.89711156
-73.79615653631706,-170,-84.49203967901809,-170,-50.554110849946014,-8.50130003,40.89711156
-74.11373500689169,-170,-86.98063110234916,-170,-51.372685769790195,-8.50130338,40.89710421
-74.04980757815056,-170,-84.89053308376218,-170,-51.44224666681923,-8.50130104,40.89710497
-72.17234611305747,-170,-85.04044135008557,-170,-49.583505191810914,-8.50130137,40.89711384
-73.87261390779571,-170,-81.73132132505967,-170,-51.43870683457116,-8.50129869,40.89710624
-69.64453202502857,-170,-84.89941389846055,-170,-49.71088015207901,-8.50130271,40.89711612
-69.69425514801232,-170,-84.36223434385812,-170,-49.188672188010976,-8.50130271,40.89711612
-73.48262979802666,-170,-84.9027228558342,-170,-51.12339899323199,-8.50129835,40.89710877
-68.5716820931014,-170,-83.12930253856689,-170,-49.004940014781134,-8.50130439,40.89711891
-73.79639776609352,-170,-84.9237946281811,-170,-50.57467805125978,-8.50130003,40.89711156
-68.65511204042026,-170,-83.07506078208118,-170,-49.07958926037779,-8.50130439,40.89711891
-73.76680701180213,-170,-84.78631739155809,-170,-50.01196052592719,-8.50130137,40.89711384
-69.64435180111556,-170,-83.26403073069926,-170,-48.52844473191166,-8.5013064,40.89712119
-69.64638271496656,-170,-85.10459796072689,-170,-49.7205800117851,-8.50130271,40.89711612
-68.69221820009663,-170,-83.16946419405761,-170,-49.13149871710479,-8.50130439,40.89711891
-69.60167131395153,-170,-83.340724111307,-170,-47.95218549428721,-8.50130808,40.89712373
-69.64168715271578,-170,-83.28279500273968,-170,-47.881408052045416,-8.50130808,40.89712373
-69.12654047426808,-170,-83.13724996956094,-170,-48.54435932871834,-8.5013064,40.89712119
-69.49589779023009,-170,-81.31691303116413,-170,-47.823682891586635,-8.5013064,40.89712575
-69.63734823720458,-170,-83.33906786126968,-170,-47.95670556213484,-8.50130808,40.89712373
-69.53689044782384,-170,-81.09987263841661,-170,-47.80456281663568,-8.5013064,40.89712575
-69.38488855786869,-170,-83.286843794221,-170,-47.689476656804814,-8.50130405,40.89712803
-69.49644212764932,-170,-81.25697781973085,-170,-47.750153090306384,-8.5013064,40.89712575
-69.38343398176947,-170,-83.29535193300558,-170,-47.578620111684785,-8.50130405,40.89712803
-69.23051401645057,-170,-83.16882666720684,-170,-47.808453258977224,-8.50130137,40.89713006
-69.20666072317809,-170,-83.24311221599908,-170,-47.70888645777584,-8.50130137,40.89713006
-69.24229515190405,-170,-83.25480563699172,-170,-47.7948131979088,-8.50130137,40.89713006
-69.02549958249782,-170,-84.12256903925196,-170,-48.17064916382792,-8.50129701,40.89713158
-68.97587344131279,-170,-84.15769155102358,-170,-48.20978927006476,-8.50129701,40.89713158
-69.01355487805404,-170,-84.15371542099253,-170,-48.191059573766935,-8.50129701,40.89713158
-68.82169591847503,-170,-84.10455158613324,-170,-48.492049089434914,-8.50129366,40.8971331
-68.88303475464862,-170,-84.10534676817548,-170,-48.48793419988505,-8.50129366,40.8971331
-68.8972789730439,-170,-84.07524944804875,-170,-48.436646244328664,-8.50129366,40.8971331
-68.68500347845043,-170,-80.95450041087537,-80.48715456438796,-48.89895847932385,-8.50128897,40.89713488
-68.6259956946671,-170,-80.95777682428177,-80.55075642326122,-48.965277397762726,-8.50128897,40.89713488
-68.68321676337695,-170,-80.98688746533122,-80.57611923476868,-48.945810676611245,-8.50128897,40.89713488
-68.66134476820115,-170,-81.01511689647766,-80.46516967120961,-48.90824584000453,-8.50128897,40.89713488
-68.49874227943212,-170,-80.93922139073733,-81.58859472490644,-49.33436743174716,-8.50128528,40.8971364
-68.48470138766466,-170,-80.9409174300654,-81.62069233787994,-49.33214881429744,-8.50128528,40.8971364
-68.50418004803605,-170,-80.93939859514995,-80.98394683801506,-48.46613270494628,-8.50128528,40.8971364
-68.4624923438479,-170,-80.81444559357222,-81.5301410156253,-49.33987137731995,-8.50128528,40.8971364
-68.37726585343515,-170,-78.83990900832703,-83.6378951954731,-49.50636416071426,-8.50128293,40.89713792
-68.34328244746987,-170,-78.86828694697788,-83.66634091572085,-49.20012626168844,-8.50128293,40.89713792
-68.34901495240905,-170,-78.89658283567661,-83.52676840769608,-49.304511176488305,-8.50128293,40.89713792
-68.2068667245517,-170,-80.869256679105,-81.7119085160192,-49.700428036054596,-8.50128058,40.89713969
-68.21255010668693,-170,-80.87611679457396,-81.61562028821973,-49.635970173617736,-8.50128058,40.89713969
-68.21575276299701,-170,-80.80509523794397,-81.56144291810931,-49.74372137637993,-8.50128058,40.89713969
-68.09181323150881,-170,-78.61945359999514,-78.73556928533795,-49.96434516856944,-8.50127824,40.89714121
-67.84837984223807,-170,-78.68616544368349,-78.71409797971481,-49.89305863057987,-8.50127824,40.89714121
-68.0694064950133,-170,-78.23630377696125,-78.73624150727467,-49.93712743211755,-8.50127824,40.89714121
-68.08627446675072,-170,-78.81743227304436,-78.74475133592887,-49.93275068267015,-8.50127824,40.89714121
-67.93847111139559,-170,-78.68534838033018,-80.78320547583164,-50.17787724998401,-8.50127555,40.89714299
-67.93737284897625,-170,-78.80021239713042,-80.7889571806928,-50.23159891705611,-8.50127555,40.89714299
-67.67373663057793,-170,-78.70810250029743,-80.54064573326644,-50.1845495048495,-8.50127555,40.89714299
-67.64007392412051,-170,-78.72577192204814,-82.81770871960767,-50.32394351378359,-8.50127287,40.89714476
-67.65472682130323,-170,-78.70861157665324,-82.58755485415674,-50.48252124088437,-8.50127287,40.89714476
-67.63667205301316,-170,-78.74274740728183,-82.81431307718559,-50.497982314926666,-8.50127287,40.89714476
-67.56585073011911,-170,-78.68970738369156,-84.8768867661534,-50.84878102500632,-8.50126952,40.89714679
-67.57659648070694,-170,-78.61757038975928,-84.5300651858583,-50.85698538224207,-8.50126952,40.89714679
