RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-57.92123791022706,-170,-83.12280772778107,-170,-8.50131297,40.89710183
-61.09901113497556,-170,-88.13337785955751,-170,-8.50131143,40.89709813
-59.762579311797055,-170,-85.07761447928182,-170,-8.50130908,40.89709889
-59.75559032715659,-170,-82.99389508716034,-170,-8.50130539,40.89710041
-59.553143155007575,-170,-82.81125813001046,-170,-8.50130338,40.89710193
-59.36048419243059,-170,-86.8985789134427,-170,-8.50130137,40.89710371
-59.15250004481881,-170,-84.89946998979838,-170,-8.50130003,40.89710573
-58.96461865013213,-170,-80.91222061281961,-170,-8.50130003,40.89710801
-58.80314005745541,-170,-84.98345011628253,-170,-8.50130137,40.89711055
-58.40223293716621,-170,-87.03721689016258,-170,-8.50130171,40.89711308
-56.34904699898873,-170,-84.95800466864198,-170,-8.50130171,40.89711612
-56.05939459305871,-170,-83.09482243706734,-170,-8.50130204,40.89711967
-55.84093133775744,-170,-82.93499060381261,-170,-8.50130338,40.89712271
-55.62410216728591,-170,-81.24375128483713,-170,-8.50130439,40.89712575
-55.39195800891929,-170,-83.17466907888337,-170,-8.50130271,40.89712778
-55.061471696541005,-170,-82.46434829622785,-170,-8.50129969,40.89712956
-54.59574534654506,-170,-83.142481825716,-170,-8.50129567,40.89713209
-54.18524378085738,-170,-81.08587168666408,-170,-8.50129265,40.89713412
-53.94851137843244,-170,-81.02631439220474,-80.63872807661309,-8.50128964,40.89713538
-53.510519893776376,-170,-80.93711837278359,-86.60605488814767,-8.50128528,40.89713716
-53.13225819012829,-170,-80.83298748852069,-82.26949632497097,-8.50128125,40.89713817
-52.65305041322278,-170,-78.52889253778699,-78.37519103181194,-8.50127589,40.89713969
-52.2821708747381,-170,-78.69487115576976,-80.67924021426897,-8.50127254,40.89714121
-51.98356152605488,-170,-80.64027176946543,-82.72184472611889,-8.50126985,40.89714248
-51.52532509992148,-170,-78.5561182141435,-86.76158745072995,-8.50126784,40.89714425
-50.89246871645537,-170,-80.34091421458082,-86.86088802423966,-8.50126583,40.89714755
-50.59050560374399,-170,-84.4286543267329,-86.73157659349252,-8.50126684,40.89715084
-50.32254573615994,-170,-80.78574360445307,-87.08077725591238,-8.50126784,40.89715312
-50.17262272051646,-170,-80.69686748857646,-87.011270416077,-8.50126851,40.89715439
-49.897841622670256,-170,-82.79975354419285,-87.19965463258917,-8.50126918,40.89715642
-49.128859273741504,-170,-82.93646778888464,-87.30130975212664,-8.50127019,40.8971587
-49.16280559733458,-170,-81.00387814325524,-87.42193962455929,-8.5012712,40.89716225
-49.514093497679774,-170,-83.0290479687419,-87.42535579065238,-8.50127354,40.89716174
-48.92365779839834,-170,-78.97352283737389,-87.42288938817005,-8.50126918,40.89716275
-49.454385352843815,-170,-82.98220648290068,-87.36488856458526,-8.50127153,40.89716047
-49.18520546080715,-170,-80.91676855342989,-87.37187946281058,-8.50126918,40.89716098
-50.0564688035248,-170,-83.05768796630299,-85.34183204827517,-8.50127522,40.89715895
-50.326907007615105,-170,-81.03989544493213,-82.44779608017892,-8.50127824,40.89715895
-50.71232291643734,-170,-81.2375566540249,-81.39399029210333,-8.5012826,40.89715895
-50.26617568992573,-170,-81.35052672882648,-79.46996558799128,-8.50128628,40.89716022
-51.199781279868276,-170,-85.45268974076401,-83.4942363681836,-8.50129064,40.89716047
-51.75110571948984,-170,-81.55261646518548,-87.33985247479771,-8.50129567,40.89716098
-51.85936027045298,-170,-81.57453566557255,-81.6030064184114,-8.50129936,40.89716098
-52.466611416088256,-170,-81.76367514994166,-79.535914048568,-8.50130338,40.89716098
-52.96970993543992,-170,-79.79840248302102,-170,-8.50130741,40.8971587
-53.20916773473673,-170,-79.90279914243962,-170,-8.5013121,40.89715743
-53.94291144688909,-170,-79.98951954062002,-170,-8.50131646,40.89715642
-54.31861386187133,-170,-80.02253504200047,-170,-8.50132048,40.89715541
-54.6907568466807,-170,-82.07931727949328,-170,-8.50132417,40.89715363
-55.01786263784928,-170,-82.09984646973906,-170,-8.50132585,40.89715135
-55.23888908230238,-170,-82.07844465192835,-170,-8.50132585,40.8971478
-55.40288700835957,-170,-81.95356495758764,-170,-8.50132585,40.89714527
