RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-50.119,-53.924,-49.978,-30.543,-8.659897539764643,40.63394318045323
-50.119,-53.924,-49.978,-30.543,-8.659897539764643,40.63394318045323
-50.119,-53.924,-49.978,-30.543,-8.659897539764643,40.63394318045323
-50.119,-53.924,-49.978,-30.543,-8.659897539764643,40.63394318045323
-50.119,-53.924,-49.978,-30.543,-8.659897539764643,40.63394318045323
-51.798,-53.963,-49.776,-34.118,-8.659890666604042,40.633957174444916
-50.453,-52.932,-49.63,-35.692,-8.65988329052925,40.633962263168414
-51.795,-52.922,-49.47,-37.326,-8.659874573349953,40.633967351891535
-50.349,-54.302,-48.241,-38.346,-8.659866526722908,40.633973458358795
-51.401,-52.701,-48.807,-37.715,-8.659869879484177,40.63398109144205
-51.673,-52.845,-48.454,-38.442,-8.659876585006714,40.633986180163745
-50.777,-52.19,-48.8,-39.06,-8.659885302186012,40.63399228662927
-50.567,-52.72,-48.273,-39.078,-8.65989200770855,40.63399788422218
-50.176,-52.575,-49.432,-39.448,-8.65989737212658,40.63400297294258
-50.971,-52.485,-49.563,-40.09,-8.659906089305878,40.6340106060225
-49.712,-53.07,-48.772,-39.134,-8.659914806485176,40.634018747973414
-50.348,-51.993,-48.044,-40.701,-8.659909442067146,40.634024854435964
-50.46,-52.268,-48.188,-41.694,-8.659902065992355,40.63402841653884
-50.461,-51.343,-47.908,-42.126,-8.65989401936531,40.634033505256944
-50.198,-51.032,-46.986,-43.116,-8.65988329052925,40.6340406294616
-50.349,-51.477,-47.045,-42.577,-8.659876585006714,40.6340482625372
-50.965,-51.52,-46.594,-43.361,-8.659870550036429,40.634053860125405
-50.479,-51.297,-46.262,-43.525,-8.659862503409386,40.634061493199475
-51.13,-51.244,-45.669,-44.411,-8.659853786230087,40.634068108529654
-50.313,-51.339,-45.96,-45.352,-8.659844398498535,40.634075741602096
-50.805,-50.159,-44.997,-46.371,-8.659835010766983,40.63408286580225
-50.811,-50.632,-44.806,-45.824,-8.659824952483177,40.634089481130296
-51.922,-49.364,-45.112,-46.522,-8.659814894199371,40.63409762307161
-51.331,-49.847,-42.775,-48.247,-8.659806177020073,40.63410678275437
-51.268,-50.778,-42.5,-47.739,-8.659796118736267,40.634113398080075
-51.935,-51.011,-42.752,-48.352,-8.659788072109222,40.63412001340507
-51.556,-50.366,-41.409,-48.123,-8.659778013825417,40.63412815534267
-51.884,-49.64,-41.381,-48.605,-8.659769296646118,40.634136806150266
-51.365,-49.591,-40.513,-48.941,-8.659759908914564,40.63414138598912
-52.62,-48.685,-39.096,-48.774,-8.659752532839775,40.634146983569515
