RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-57.9462665773167,-170,-83.18857765911284,-170,-8.50131243,40.89710117
-59.21306241980186,-170,-84.8703486791461,-170,-8.50130036,40.89710497
-58.69292673134274,-170,-84.9982592979002,-170,-8.50130171,40.89711131
-56.0325016244364,-170,-83.22040321773532,-170,-8.50130573,40.89712195
-55.393340037677326,-170,-83.14234993447235,-170,-8.50131176,40.89713310
-54.904365687580054,-170,-83.48136326837192,-170,-8.50130707,40.89713614
-53.95722694733641,-170,-81.307232087803,-170,-8.50129768,40.89714020
-53.26291808921078,-170,-81.17143605601211,-80.83787414788462,-8.50129165,40.89714223
-51.983839501901684,-170,-78.96715127349488,-78.97927434513994,-8.50128125,40.89714806
-50.754863872369185,-170,-85.06301172273709,-81.22288928393563,-8.50127757,40.89715541
-50.20636004858203,-170,-81.04205960907719,-83.32453682380364,-8.50127622,40.89715819
-49.57009322076548,-170,-82.86560766852894,-86.48189741436506,-8.50127053,40.89715946
-49.3774123144661,-170,-82.74477462544124,-87.22830113566515,-8.50126583,40.89715794
-48.706858413300836,-170,-78.52099792783763,-89.12592340715285,-8.50125443,40.89715693
-47.95270111471508,-170,-82.16875876353811,-85.07710676428849,-8.50124236,40.89715718
-47.523652046589284,-170,-86.05526860404251,-85.0628980221089,-8.50123666,40.89715819
-46.728499321731896,-170,-79.89018869444487,-85.02861223818915,-8.50122627,40.89716047
-46.3666319710598,-170,-81.79530168906803,-80.81139435804073,-8.50122124,40.89716225
-170,-170,-83.5888680275952,-81.17862873129339,-8.50121085,40.89716453
-170,-170,-85.35541613581033,-85.23222301502994,-8.50120045,40.89716656
-170,-170,-85.44170724838926,-85.22844666470279,-8.50119978,40.89716985
-170,-170,-75.67950010762104,-85.66116495990282,-8.50120179,40.89717796
-170,-170,-73.89243545417281,-81.77180058421357,-8.50120582,40.89718126
-170,-170,-77.96763761704466,-83.93906496564108,-8.50120381,40.89718607
-170,-170,-75.85148888667771,-87.92540311242121,-8.50119710,40.89718886
