RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-51.70129514464673,-170,-77.67915396064555,-75.05030822115032,-8.50131311,40.89710117
-53.537118234086066,-170,-77.5910659345841,-71.04188590794978,-8.50131042,40.89710193
-53.32437277730573,-170,-77.53884259951116,-71.03109312663264,-8.50130741,40.89710295
-53.0634578830047,-170,-81.43839814751013,-71.030259795407,-8.50130338,40.89710421
-52.917663469218105,-170,-79.38018709381066,-71.03179013395143,-8.50130104,40.89710497
-52.71444613198918,-170,-77.32827781876868,-71.05649434554303,-8.50129869,40.89710624
-52.47247552545578,-170,-79.35085273595683,-71.15660276185159,-8.50129835,40.89710877
-52.285573799884894,-170,-79.43534296709245,-71.29074628924266,-8.50130003,40.89711156
-52.13651807541624,-170,-79.49864047284225,-71.40255498004485,-8.50130137,40.89711384
-49.97420340600988,-170,-79.57199940796295,-71.50056543901262,-8.50130271,40.89711612
-49.81583292405244,-170,-77.64944264825806,-71.6323071532133,-8.50130439,40.89711891
-49.70926534398553,-170,-77.73740985559128,-71.7429772008307,-8.50130640,40.89712119
-49.56815820651702,-170,-77.82429851630837,-71.8590943479124,-8.50130808,40.89712373
-49.29504877538497,-170,-75.80723158301095,-71.9349773162728,-8.50130640,40.89712575
-48.94792421313107,-170,-77.77619099311823,-71.9950049129441,-8.50130405,40.89712803
-48.59298800196251,-170,-77.73360092986422,-72.04213222460464,-8.50130137,40.89713006
-48.194499446843906,-170,-79.6375732077213,-74.05170814412787,-8.50129701,40.89713158
-47.83422047087389,-170,-79.57049347739618,-76.06734366210995,-8.50129366,40.89713310
-47.35748494648722,-170,-75.47040460852031,-76.09337797823864,-8.50128897,40.89713488
-46.956085810846204,-170,-75.39460706104391,-82.11647578711205,-8.50128528,40.89713640
-46.62534284442846,-170,-73.35575610542492,-80.15310472575321,-8.50128293,40.89713792
-46.25339627634567,-170,-75.32172570651898,-76.19932974517084,-8.50128058,40.89713969
-45.908627576968556,-170,-73.28413501212637,-74.23689976487628,-8.50127824,40.89714121
-45.48795134993156,-170,-73.24218403691592,-76.26048698305604,-8.50127555,40.89714299
-44.993808888116185,-170,-73.2017175370134,-80.32772334658188,-8.50127287,40.89714476
-44.530590811040774,-170,-75.1481783157821,-82.37829722792787,-8.50126952,40.89714679
-43.84506274398717,-170,-75.08404778664726,-82.44457476962808,-8.50126550,40.89714932
-43.47525838954907,-170,-75.0940199639035,-82.50516635871641,-8.50126449,40.89715110
-42.945417663319404,-170,-77.0477174156835,-82.54993406172588,-8.50126147,40.89715287
-42.38500851105024,-170,-76.87537810935228,-84.61198383609639,-8.50125913,40.89715490
